activity,category,process_elapsed_seconds,active_labour_seconds,industry_effort_seconds,evidence,limitations
Existing environment setup,setup,,,,workflow-example.md,Active labour and comparable industry effort were not measured.
Targeted practice/source review,research,,,,workflow-example.md,Active labour and comparable industry effort were not measured.
Case scripting and debugging,development,,,,workflow-example.md,Active labour and comparable industry effort were not measured.
Coordination and drawing review,design_review,,,,workflow-example.md,Active labour and comparable industry effort were not measured.
candidate-verification-C1,rework,1119.8126706440235,,,../structural/outputs/deliverables/execution-record.json#original_commands,Historical measured process time; not active labour or a productivity ratio. Nested verification and solver durations must not be added as total labour.
candidate-verification-C2,verification_wait,1149.1426581239793,,,../structural/outputs/deliverables/execution-record.json#original_commands,Historical measured process time; not active labour or a productivity ratio. Nested verification and solver durations must not be added as total labour.
adopted-analysis,solver_wait,210.05653709796024,,,../structural/outputs/deliverables/execution-record.json#original_commands,Historical measured process time; not active labour or a productivity ratio. Nested verification and solver durations must not be added as total labour.
final-tests,software_verification,18.667365543020424,,,../structural/outputs/deliverables/execution-record.json#original_commands,Historical measured process time; not active labour or a productivity ratio. Nested verification and solver durations must not be added as total labour.
RC-001 existing environment reused,setup,,,,../structural/outputs/deliverables/landing-article-execution.json,Not separately timed; active labour and comparable industry effort unknown. No new installation.
RC-001 selected official and practice sources,research,,,,../structural/outputs/deliverables/landing-article-execution.json,Not separately timed; active labour and comparable industry effort unknown. No new installation.
RC-001 scripts and figure implementation,development,,,,../structural/outputs/deliverables/landing-article-execution.json,Not separately timed; active labour and comparable industry effort unknown. No new installation.
RC-001 material and bar alternatives,design_review,,,,../structural/outputs/deliverables/landing-article-execution.json,Not separately timed; active labour and comparable industry effort unknown. No new installation.
RC-001 isolated solver waiting,solver_wait,,,,../structural/outputs/deliverables/landing-article-execution.json,Not separately timed; active labour and comparable industry effort unknown. No new installation.
RC-001 focused-tests-1,debugging,0.18387972499476746,,,../structural/outputs/deliverables/landing-article-execution.json,"Measured subprocess duration, including initialization/checks where applicable; not active labour or isolated solver time."
RC-001 full-tests-1,rework,18.461851119995117,,,../structural/outputs/deliverables/landing-article-execution.json,"Measured subprocess duration, including initialization/checks where applicable; not active labour or isolated solver time."
RC-001 final-calculation,calculation_and_checks,1.1414252009708434,,,../structural/outputs/deliverables/landing-article-execution.json,"Measured subprocess duration, including initialization/checks where applicable; not active labour or isolated solver time."
RC-001 reproduction,reproduction,0.9530059469980188,,,../structural/outputs/deliverables/landing-article-execution.json,"Measured subprocess duration, including initialization/checks where applicable; not active labour or isolated solver time."
RC-001 full-tests-2,software_verification,18.490186195995193,,,../structural/outputs/deliverables/landing-article-execution.json,"Measured subprocess duration, including initialization/checks where applicable; not active labour or isolated solver time."
RC-001 render-pdf,drawing_render,2.2229586929897778,,,../structural/outputs/deliverables/landing-article-execution.json,"Measured subprocess duration, including initialization/checks where applicable; not active labour or isolated solver time."
RC-001 render-png,drawing_render,0.09371821401873603,,,../structural/outputs/deliverables/landing-article-execution.json,"Measured subprocess duration, including initialization/checks where applicable; not active labour or isolated solver time."
Article presentation editing,editorial,,,,../../docs/provenance/presentation.json,Active labour not measured; filename/prose/caption changes only.
Presentation architectural-generation,drawing_generation,1.5214277200284414,,,../../docs/provenance/presentation.json,"Measured subprocess time, not active labour or productivity savings; no whole-building rerun."
Presentation structural-drawings,drawing_generation,4.394191496947315,,,../../docs/provenance/presentation.json,"Measured subprocess time, not active labour or productivity savings; no whole-building rerun."
Presentation landing-reproduction,calculation_and_checks,0.9539736359729432,,,../../docs/provenance/presentation.json,"Measured subprocess time, not active labour or productivity savings; no whole-building rerun."
Presentation full-tests,software_verification,18.385494985966943,,,../../docs/provenance/presentation.json,"Measured subprocess time, not active labour or productivity savings; no whole-building rerun."
Presentation landing-pdf-2,rework,0.7451333299977705,,,../../docs/provenance/presentation.json,"Measured subprocess time, not active labour or productivity savings; no whole-building rerun."
